City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
98,haiku-pauwela,20.9219,-156.3051,27.36,71,40,10.73,US,2024-11-09 21:46:50
99,san ignacio de velasco,-16.3667,-60.95,28.38,53,38,1.24,BO,2024-11-09 21:48:47
100,severo-yeniseyskiy,60.3725,93.0408,-10.28,85,100,5.62,RU,2024-11-09 21:48:48
101,summerland,49.5998,-119.6691,8.94,70,100,5.14,CA,2024-11-09 21:48:50
102,bay roberts,47.5999,-53.2648,5.03,92,99,4.02,CA,2024-11-09 21:48:51
103,dakhla,23.6848,-15.958,21.74,62,97,3.92,EH,2024-11-09 21:48:52
104,fortuna,40.5982,-124.1573,15.55,52,0,0.0,US,2024-11-09 21:48:53
105,utrik,11.2278,169.8474,28.42,80,88,9.99,MH,2024-11-09 21:47:39
106,cherykaw,53.5692,31.3793,2.57,94,31,2.26,BY,2024-11-09 21:48:55
107,iskateley,67.6803,53.1512,-5.47,83,98,4.5,RU,2024-11-09 21:48:57
108,malmberget,67.1753,20.6549,-4.69,86,8,2.06,SE,2024-11-09 21:48:58
109,whitehorse,60.7161,-135.0538,2.43,64,40,6.17,CA,2024-11-09 21:41:43
110,georgetown,5.4112,100.3354,26.96,78,20,2.06,MY,2024-11-09 21:47:56
111,aykhal,66.0,111.5,-14.95,92,100,6.52,RU,2024-11-09 21:49:01
112,vernon,50.2581,-119.2691,7.47,85,100,2.06,CA,2024-11-09 21:49:03
113,lebu,-37.6167,-73.65,13.48,75,100,3.29,CL,2024-11-09 21:49:04
114,cole harbour,44.6724,-63.4751,2.74,72,10,5.36,CA,2024-11-09 21:49:05
115,gadzhiyevo,69.2551,33.3362,2.11,85,98,9.78,RU,2024-11-09 21:49:06
116,luuq,3.7938,42.5445,28.53,57,40,5.34,SO,2024-11-09 21:49:07
117,kaiyuan,23.6977,103.3037,14.88,94,25,0.56,CN,2024-11-09 21:49:09
118,strezhevoy,60.7333,77.5889,-5.09,93,100,7.81,RU,2024-11-09 21:49:10
119,east london,-33.0153,27.9116,17.57,80,15,2.65,ZA,2024-11-09 21:45:06
120,papatowai,-46.5619,169.4708,13.13,54,98,1.72,NZ,2024-11-09 21:49:12
121,papao,-17.75,-149.55,27.82,91,71,6.77,PF,2024-11-09 21:49:14
122,kangding,30.0513,101.9603,6.97,71,24,2.11,CN,2024-11-09 21:49:15
123,hamilton,39.1834,-84.5333,16.69,51,0,4.63,US,2024-11-09 21:49:16
124,rongelap,11.1635,166.8941,28.16,80,72,9.27,MH,2024-11-09 21:49:17
125,kabansk,52.0486,106.6528,-6.02,83,51,2.01,RU,2024-11-09 21:49:18
126,itaiba,-8.9475,-37.4228,27.7,48,97,7.77,BR,2024-11-09 21:49:20
127,rawah,34.4816,41.9093,17.91,33,71,2.61,IQ,2024-11-09 21:49:21
128,aksu,41.1231,80.2644,7.62,57,64,2.37,CN,2024-11-09 21:49:22
129,zlynka,52.4267,31.7378,2.58,84,5,2.5,RU,2024-11-09 21:49:23
130,sai buri,6.7013,101.6168,24.31,93,100,1.42,TH,2024-11-09 21:49:24
131,susuman,62.7833,148.1667,-33.54,99,97,0.18,RU,2024-11-09 21:49:25
132,kodiak,57.79,-152.4072,3.73,87,100,9.26,US,2024-11-09 21:49:27
133,avarua,-21.2078,-159.775,24.03,57,20,3.6,CK,2024-11-09 21:49:28
134,ulaangom,49.9811,92.0667,-6.79,56,75,1.47,MN,2024-11-09 21:49:29
135,chernyshevskiy,63.0128,112.4714,-10.26,92,100,4.56,RU,2024-11-09 21:49:30
136,bredasdorp,-34.5322,20.0403,15.9,85,32,5.8,ZA,2024-11-09 21:49:31
137,wailua homesteads,22.0669,-159.378,27.44,77,0,6.17,US,2024-11-09 21:49:32
138,kalmunai,7.4167,81.8167,24.6,89,94,4.54,LK,2024-11-09 21:49:34
139,isernia,41.6002,14.2382,10.3,95,100,2.39,IT,2024-11-09 21:49:35
140,qaqortoq,60.7167,-46.0333,0.26,99,100,2.4,GL,2024-11-09 21:49:36
141,holualoa,19.6228,-155.9522,26.97,72,40,3.6,US,2024-11-09 21:46:23
142,guasdualito,7.2424,-70.7324,24.98,88,75,2.06,VE,2024-11-09 21:49:38
143,tiksi,71.6872,128.8694,-13.47,93,100,3.44,RU,2024-11-09 21:49:40
144,borba,-4.3878,-59.5939,30.36,49,100,1.29,BR,2024-11-09 21:49:41
145,calama,-22.4667,-68.9333,23.27,8,0,10.29,CL,2024-11-09 21:44:58
146,port elizabeth,-33.918,25.5701,14.06,95,63,2.65,ZA,2024-11-09 21:48:20
